"","Gene","logFC","pvalues"
"ENSG00000254109","ENSG00000254109",NA,0.107636986025217
"ENSG00000211950","ENSG00000211950",NA,0.258804986878678
"ENSG00000260802","ENSG00000260802",NA,0.42438782962886
"ENSG00000228358","ENSG00000228358",NA,0.242295546914004
"ENSG00000163646","ENSG00000163646",NA,0.372486790246614
"ENSG00000282939","ENSG00000282939",NA,0.233239899358442
"ENSG00000230356","ENSG00000230356",NA,0.358146320736403
"ENSG00000286722","ENSG00000286722",NA,0.405276428464617
"ENSG00000228509","ENSG00000228509",NA,0.316449040325018
"ENSG00000151224","ENSG00000151224",NA,0.362665952270332
"ENSG00000152611","ENSG00000152611",NA,0.381467593921517
"ENSG00000143297","ENSG00000143297",NA,0.370958102520298
"ENSG00000232211","ENSG00000232211",NA,0.39812214408729
"ENSG00000156206","ENSG00000156206",NA,0.353830034508016
"ENSG00000214819","ENSG00000214819",NA,0.373900966300059
"ENSG00000227496","ENSG00000227496",NA,0.350779602952135
"ENSG00000143125","ENSG00000143125",NA,0.167773919612875
"ENSG00000261036","ENSG00000261036",NA,0.370599557120162
"ENSG00000091583","ENSG00000091583",NA,0.402854071969521
"ENSG00000242371","ENSG00000242371",NA,0.345010845248977
"ENSG00000264151","ENSG00000264151",NA,0.380096314430174
"ENSG00000213355","ENSG00000213355",NA,0.275037741346296
"ENSG00000147378","ENSG00000147378",NA,0.0890773326321906
"ENSG00000250387","ENSG00000250387",NA,0.34685908364562
"ENSG00000236069","ENSG00000236069",NA,0.392759246141723
"ENSG00000236039","ENSG00000236039",NA,0.370127556615486
"ENSG00000211970","ENSG00000211970",NA,0.406953711280772
"ENSG00000271239","ENSG00000271239",NA,0.34541122685473
"ENSG00000137090","ENSG00000137090",NA,0.31864652710876
"ENSG00000186471","ENSG00000186471",NA,0.289640975767732
"ENSG00000187621","ENSG00000187621",NA,0.384368869712157
"ENSG00000240671","ENSG00000240671",NA,0.475771093173861
"ENSG00000261706","ENSG00000261706",NA,0.360623468226071
"ENSG00000251511","ENSG00000251511",NA,0.207610326144278
